,0,1,2,3,4,5,6
Cambodian,0.0,0.0,0.37606837606837606,0.011568123393316195,0.0,0.016736401673640166,0.020618556701030927
Caribbean,0.3584905660377358,0.19616204690831557,0.6410256410256411,1.019280205655527,1.3628318584070795,0.5439330543933054,0.6907216494845361
Chinese,0.7672955974842768,1.2643923240938166,2.376068376068376,0.34704370179948585,1.3716814159292035,1.5899581589958158,1.2508591065292096
Colombian,0.09433962264150944,0.17484008528784648,0.042735042735042736,0.033419023136246784,0.22123893805309736,0.4225941422594142,0.35051546391752575
Cuban,0.006289308176100629,0.021321961620469083,1.5555555555555556,0.030848329048843187,0.04424778761061947,0.5439330543933054,0.23711340206185566
Dominican,0.13836477987421383,0.06183368869936034,0.5726495726495726,0.17737789203084833,0.8230088495575221,0.6736401673640168,2.4982817869415808
French,0.025157232704402517,0.15565031982942432,3.0598290598290596,0.03984575835475578,0.12389380530973451,1.0878661087866108,0.16151202749140894
German,0.006289308176100629,0.12153518123667377,0.7692307692307693,0.012853470437017995,0.02654867256637168,0.3807531380753138,0.15463917525773196
Greek,0.1320754716981132,0.5245202558635395,1.7692307692307692,0.033419023136246784,0.09734513274336283,1.100418410041841,0.17869415807560138
Halal,0.4779874213836478,0.5565031982942431,2.427350427350427,0.14910025706940874,1.761061946902655,1.3389121338912133,0.3333333333333333
Indian,0.3710691823899371,0.31130063965884863,2.4188034188034186,0.26735218508997427,2.0707964601769913,1.1297071129707112,0.3951890034364261
Irish,0.11320754716981132,0.16844349680170576,1.8803418803418803,0.038560411311053984,0.13274336283185842,0.5983263598326359,0.19243986254295534
Italian,0.5157232704402516,1.3219616204690832,3.7435897435897436,0.2249357326478149,0.6637168141592921,2.305439330543933,0.7422680412371134
Japanese,0.9874213836477987,1.1961620469083156,3.52991452991453,0.15167095115681234,0.48672566371681414,1.794979079497908,0.5979381443298969
Jewish,2.452830188679245,0.09168443496801706,1.5042735042735043,0.043701799485861184,0.23008849557522124,0.6234309623430963,0.061855670103092786
Korean,0.12578616352201258,0.4584221748400853,1.7521367521367521,0.030848329048843187,0.13274336283185842,0.6276150627615062,0.13058419243986255
Kosher,2.1761006289308176,0.14498933901918976,1.3076923076923077,0.08354755784061697,0.20353982300884957,0.5397489539748954,0.08934707903780069
Latin American,0.5220125786163522,0.7569296375266524,3.47008547008547,0.3033419023136247,0.9557522123893806,2.3263598326359833,1.6254295532646048
Malaysian,0.031446540880503145,0.1257995735607676,0.4444444444444444,0.0038560411311053984,0.02654867256637168,0.07531380753138076,0.037800687285223365
Mediterranean,0.18867924528301888,0.31982942430703626,2.52991452991453,0.02442159383033419,0.035398230088495575,1.0794979079497908,0.11683848797250859
Mexican,0.2830188679245283,0.4093816631130064,3.2222222222222223,0.14395886889460155,0.5575221238938053,1.99163179916318,1.2199312714776633
Middle Eastern,0.27044025157232704,0.2835820895522388,2.4615384615384617,0.06426735218508997,0.4690265486725664,1.3556485355648535,0.11683848797250859
Pakistani,0.1320754716981132,0.14285714285714285,1.3846153846153846,0.043701799485861184,2.575221238938053,0.42677824267782427,0.10309278350515463
Peruvian,0.2138364779874214,0.27078891257995735,0.7435897435897436,0.055269922879177376,0.3008849557522124,0.5523012552301255,0.36769759450171824
Puerto Rican,0.031446540880503145,0.04477611940298507,0.452991452991453,0.08226221079691516,0.1592920353982301,0.14225941422594143,0.27491408934707906
Russian,0.42138364779874216,0.2835820895522388,0.5213675213675214,0.02699228791773779,0.18584070796460178,0.06276150627615062,0.013745704467353952
Salvadoran,0.050314465408805034,0.09594882729211088,0.0,0.038560411311053984,0.23893805309734514,0.11715481171548117,0.29896907216494845
Shanghainese,0.050314465408805034,0.15991471215351813,0.5641025641025641,0.007712082262210797,0.017699115044247787,0.16317991631799164,0.010309278350515464
Taiwanese,0.1320754716981132,0.27292110874200426,0.8547008547008547,0.0038560411311053984,0.008849557522123894,0.13389121338912133,0.07216494845360824
Thai,0.37735849056603776,0.5415778251599147,3.051282051282051,0.08354755784061697,0.7699115044247787,1.8117154811715481,0.5051546391752577
Turkish,0.24528301886792453,0.2579957356076759,1.4871794871794872,0.010282776349614395,0.035398230088495575,0.5439330543933054,0.041237113402061855
Venezuelan,0.08176100628930817,0.07889125799573561,0.6324786324786325,0.04627249357326478,0.008849557522123894,0.3179916317991632,0.3333333333333333
Vietnamese,0.16981132075471697,0.4051172707889126,2.1452991452991452,0.03984575835475578,0.08849557522123894,0.9414225941422594,0.19931271477663232
